EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,1.1068296,0.024032498,0.0679495,1.1988117
100,0.14318062,0.00050141255,0.030200416,0.17388245
200,0.016676541,2.9926483e-05,0.01616893,0.032875396
300,0.01314755,2.114342e-05,0.01340924,0.026577933
400,0.011049656,1.6186199e-05,0.0115314545,0.022597298
500,0.00943823,1.2945879e-05,0.010001571,0.019452747
600,0.008060352,1.1334816e-05,0.00869812,0.016769806
700,0.008847562,9.581481e-05,0.006695602,0.01563898
800,0.006363696,9.409314e-06,0.007000291,0.013373396
900,0.0053651268,8.361979e-06,0.006049674,0.011423163
1000,0.01402723,0.0004451371,0.010743892,0.025216259
1100,0.0049767266,6.86222e-06,0.005696314,0.0106799025
1200,0.004584514,6.795027e-06,0.005246115,0.009837424
1300,0.004250148,6.641989e-06,0.0048828307,0.009139621
1400,0.0039536227,6.5572312e-06,0.0045636618,0.008523841
1500,0.0036833691,6.516223e-06,0.004277462,0.007967348
1600,0.003429936,6.513054e-06,0.004012851,0.0074493005
1700,0.0031881328,6.5746435e-06,0.0037594335,0.006954141
1800,0.002956122,6.7405404e-06,0.0035103725,0.006473235
1900,0.0027339873,7.0341907e-06,0.0032627597,0.006003781
2000,0.0025224066,7.3678807e-06,0.0030178842,0.0055476585
2100,0.0024438873,8.950429e-06,0.0029436569,0.0053964946
2200,0.0022762956,7.702942e-06,0.0027303218,0.0050143204
2300,0.0021219344,7.9665415e-06,0.0025321725,0.004662073
2400,0.002120202,1.1830025e-05,0.0025138822,0.0046459143
2500,0.0019709202,7.6262904e-06,0.0023455136,0.00432406
2600,0.0018492127,7.6113365e-06,0.002192809,0.004049633
2700,0.0020263032,4.4749795e-06,0.0022546377,0.0042854156
2800,0.001739751,6.669675e-06,0.002063414,0.0038098348
2900,0.0016379118,6.732966e-06,0.001936416,0.0035810608
3000,0.0033324158,0.000121248166,0.0021866327,0.0056402963
3100,0.0015978036,6.62776e-06,0.0018822154,0.0034866468
3200,0.0015079112,5.7713955e-06,0.0017637913,0.003277474
3300,0.0014228355,5.645801e-06,0.0016617381,0.0030902196
3400,0.0013461292,4.670534e-06,0.001567419,0.0029182187
3500,0.0014093956,3.9633755e-06,0.0016269931,0.0030403521
3600,0.0013299686,4.806834e-06,0.0015255266,0.0028603019
3700,0.0012607365,4.700219e-06,0.001439181,0.0027046178
3800,0.0020836436,2.1940741e-05,0.0014287323,0.0035343168
3900,0.0012414646,3.896627e-06,0.0013980805,0.0026434418
4000,0.0011816374,4.0382256e-06,0.0013147178,0.0025003934
4100,0.0011262576,3.9443694e-06,0.0012439792,0.0023741813
4200,0.0012103333,2.0735802e-06,0.001317307,0.0025297138
4300,0.0011283332,3.4047414e-06,0.0012180919,0.0023498298
4400,0.001078466,3.4378377e-06,0.0011501089,0.0022320126
4500,0.0010318715,3.314192e-06,0.0010914033,0.002126589
4600,0.0010771556,3.925355e-06,0.0011467455,0.0022278263
4700,0.0010319637,2.9284402e-06,0.0010689162,0.0021038083
4800,0.000987869,2.883516e-06,0.0010116643,0.0020024169
4900,0.037247986,0.0015046485,0.00694357,0.045696203
5000,0.0009818699,2.4475326e-06,0.0009985678,0.0019828852
5100,0.00097274233,2.4085507e-06,0.000984348,0.001959499
5200,0.0009633299,2.409961e-06,0.0009712627,0.0019370025
5300,0.00095361425,2.4044932e-06,0.00095832424,0.0019143429
5400,0.0009435634,2.3926118e-06,0.0009454503,0.0018914063
5500,0.00093317044,2.3745997e-06,0.0009325915,0.0018681366
5600,0.0009223898,2.34978e-06,0.0009197024,0.001844442
5700,0.00091121026,2.3188827e-06,0.0009067485,0.0018202777
5800,0.0008995955,2.281923e-06,0.00089368445,0.001795562
5900,0.00088753033,2.2387085e-06,0.0008804711,0.00177024
6000,0.00087498385,2.1900385e-06,0.00086709345,0.0017442673
6100,0.0008619261,2.1355067e-06,0.0008535064,0.001717568
6200,0.0008483378,2.075893e-06,0.0008396912,0.0016901048
6300,0.0008342,2.0110886e-06,0.00082563417,0.0016618453
6400,0.00081949454,1.9419717e-06,0.00081131497,0.0016327514
6500,0.0008042225,1.8687413e-06,0.00079671934,0.0016028106
6600,0.0007884079,1.7928409e-06,0.00078184786,0.0015720485
6700,0.0007720976,1.7153252e-06,0.00076670386,0.0015405169
6800,0.0007553696,1.6373691e-06,0.00075130485,0.0015083118
6900,0.0007383368,1.5603813e-06,0.00073568494,0.0014755821
7000,0.0007211428,1.4867945e-06,0.0007198937,0.0014425233
7100,0.0007039298,1.4180471e-06,0.0007039964,0.0014093443
7200,0.0006868483,1.3550923e-06,0.00068808073,0.001376284
7300,0.00067001354,1.2989052e-06,0.00067224284,0.0013435553
7400,0.0006535191,1.2487948e-06,0.000656576,0.001311344
7500,0.00063741993,1.2046822e-06,0.0006411861,0.0012798107
7600,0.00062172156,1.1661596e-06,0.00062617415,0.0012490618
7700,0.00060643576,1.1323093e-06,0.0006115956,0.0012191636
7800,0.00059153634,1.1031004e-06,0.0005975118,0.0011901513
7900,0.0005753915,1.3386391e-06,0.000586212,0.0011629421
8000,0.0005642165,1.1945456e-06,0.0005744832,0.0011398942
8100,0.00055279344,1.0364814e-06,0.00056161615,0.0011154461
8200,0.0005579592,3.6365898e-06,0.0005701957,0.0011317915
8300,0.00053132954,1.0064444e-06,0.00054243766,0.0010747736
8400,0.0005204643,9.994097e-07,0.00053280604,0.0010542698
8500,0.0005098919,1.3368519e-06,0.0005282705,0.0010394992
8600,0.00050171645,9.746809e-07,0.00051647756,0.0010191686
8700,0.0005138611,7.0877684e-07,0.00050441746,0.0010189873
8800,0.00048455218,9.352967e-07,0.0005014185,0.000986906
8900,0.00047525502,9.598882e-07,0.0004940188,0.0009702337
9000,0.00046681345,1.1365055e-06,0.0004900363,0.0009579863
9100,0.00046001456,9.413323e-07,0.000481152,0.0009421079
9200,0.00045725162,7.29735e-07,0.00047133336,0.0009293147
9300,0.0004445106,1.0236492e-06,0.0004698693,0.00091540354
9400,0.00043779387,9.29662e-07,0.00046247977,0.0009012033
9500,0.0004481139,7.356892e-07,0.00045236276,0.00090121233
9600,0.00042462556,8.9263585e-07,0.00045073102,0.0008762492
9700,0.00041717396,9.169051e-07,0.00044494757,0.0008630384
9800,0.00041289066,8.2327216e-07,0.00043913128,0.00085284526
9900,0.0004049576,9.084325e-07,0.00043450826,0.0008403743
10000,0.0020528394,5.9014536e-05,0.00062861625,0.0027404702
10100,0.00039249097,9.5295565e-07,0.00042481517,0.0008182591
10200,0.00038675455,9.033103e-07,0.00041881157,0.0008064694
10300,0.00038147814,9.0701917e-07,0.00041481553,0.00079720066
10400,0.00037606983,8.9617686e-07,0.00040938013,0.00078634615
10500,0.00037029112,8.85528e-07,0.00040408917,0.0007752658
10600,0.00036828942,7.6895014e-07,0.00039839593,0.0007674543
10700,0.0003603257,8.8596715e-07,0.00039528013,0.00075649185
10800,0.00041103756,5.7154157e-06,0.0004249958,0.0008417488
10900,0.00035109496,8.4749126e-07,0.000385944,0.00073788647
11000,0.00034536375,8.799931e-07,0.00038173728,0.000727981
11100,0.00035596557,7.1277725e-07,0.0003727511,0.0007294294
11200,0.0003363022,8.792038e-07,0.00037335395,0.0007105354
11300,0.00033137988,8.712688e-07,0.0003687708,0.0007010219
11400,0.00032873612,8.1869774e-07,0.00036438167,0.0006939365
